"Client","Beneficiary Name","Transaction #","Bank Confirmaton ID","Transaction ID","Destination Currency","Destination Amount","Local Conversion Currency","Batch","Status","USD Value","Uploaded Date","Stage_2_Approved","Compliance Cleared","PG_PROCESSING","MANUAL_PG","SENT_TO_BANK","Error-Sub Status","Error Description","Paid","Returned","Cancelled"
"Aseem Label","GoWheel","ZZY14","PY10121286","","EUR","100.00","HKD","batch_format_EUR_2.xlsx","Compliance Rejected",117.48,"31/07/2017 08:19:24","31/07/2017 08:20:12","","","","",,,"","",""
"Aseem Label","GoWheel","ZZY15","PY10121287","","EUR","100.00","EUR","batch_format_EUR_2.xlsx","Error",117.48,"31/07/2017 08:19:24","31/07/2017 08:20:12","31/07/2017 08:20:13","31/07/2017 08:20:14","","","PG ERROR","beneficiary_create_failed, iban is in invalid format : ","","",""
"Aseem Label","GoWheel","ZZY13","PY10121285","","EUR","100.00","SGD","batch_format_EUR_2.xlsx","Processing Transaction",117.48,"31/07/2017 08:19:24","31/07/2017 08:20:12","","","","",,,"","",""
"Aseem Label","GoWheel","ZZY12","PY10121284","","EUR","100.00","NPR","batch_format_EUR_2.xlsx","Processing Transaction",117.48,"31/07/2017 08:19:24","31/07/2017 08:20:12","","","","",,,"","",""
"Aseem Label","GoWheel","ZZY11","PY10121283","","EUR","100.00","AUD","batch_format_EUR_2.xlsx","Processing Transaction",117.48,"31/07/2017 08:19:24","31/07/2017 08:20:12","","","","",,,"","",""
"Aseem Label","GoWheel","ZZY10","PY10121282","","EUR","100.00","VND","batch_format_EUR_2.xlsx","Processing Transaction",117.48,"31/07/2017 08:19:24","31/07/2017 08:20:12","","","","",,,"","",""
"Aseem Label","GoWheel","ZZY9","PY10121281","","EUR","100.00","IDR","batch_format_EUR_2.xlsx","Processing Transaction",117.48,"31/07/2017 08:19:24","31/07/2017 08:20:12","","","","",,,"","",""
"Aseem Label","GoWheel","ZZY8","PY10121280","","EUR","100.00","BDT","batch_format_EUR_2.xlsx","Processing Transaction",117.48,"31/07/2017 08:19:24","31/07/2017 08:20:12","","","","",,,"","",""
"Aseem Label","GoWheel","ZZY7","PY10121279","","EUR","100.00","LKR","batch_format_EUR_2.xlsx","Processing Transaction",117.48,"31/07/2017 08:19:24","31/07/2017 08:20:12","","","","",,,"","",""
"Aseem Label","GoWheel","ZZY6","PY10121278","","EUR","100.00","JPY","batch_format_EUR_2.xlsx","Processing Transaction",117.48,"31/07/2017 08:19:24","31/07/2017 08:20:12","","","","",,,"","",""
"Aseem Label","GoWheel","ZZY5","PY10121277","","EUR","100.00","CNY","batch_format_EUR_2.xlsx","Processing Transaction",117.48,"31/07/2017 08:19:24","31/07/2017 08:20:12","","","","",,,"","",""
"Aseem Label","GoWheel","ZZY4","PY10121276","","EUR","100.00","INR","batch_format_EUR_2.xlsx","Processing Transaction",117.48,"31/07/2017 08:19:24","31/07/2017 08:20:12","","","","",,,"","",""
"Aseem Label","GoWheel","ZZY3","PY10121275","","EUR","100.00","THB","batch_format_EUR_2.xlsx","Processing Transaction",117.48,"31/07/2017 08:19:24","31/07/2017 08:20:12","","","","",,,"","",""
"Aseem Label","GoWheel","ZZY2","PY10121274","","EUR","100.00","PHP","batch_format_EUR_2.xlsx","Processing Transaction",117.48,"31/07/2017 08:19:24","31/07/2017 08:20:12","","","","",,,"","",""
"Aseem Label","GoWheel","ZZY1","PY10121273","","EUR","100.00","MYR","batch_format_EUR_2.xlsx","Processing Transaction",117.48,"31/07/2017 08:19:24","31/07/2017 08:20:12","","","","",,,"","",""
"Aseem Label","China Tin","1CNY-11","PY10120068","","CNY","200.00","CNY","CNY-CNY.xlsx","Error",29.68,"28/07/2017 04:00:14","28/07/2017 04:00:37","28/07/2017 04:01:12","28/07/2017 04:01:12","","","PG ERROR","beneficiary_create_failed, bank_account_holder_name is required : bank_country is required : currency is required : name is required : ","","",""
"Aseem Label","USA Tin","NZDO102","PY10120064","170727-YVRQDR001","NZD","200.00","NZD","NZD-NZD.xlsx","Sent to Bank",150.56,"27/07/2017 11:47:29","27/07/2017 11:47:49","27/07/2017 11:47:50","27/07/2017 11:47:50","","27/07/2017 11:47:58",,,"","",""
"Aseem Label","USA Tin","XCHFO101","PY10120063","","CHF","200.00","CHF","CHF-CHF.xlsx","Error",209.64,"27/07/2017 11:34:35","27/07/2017 11:34:56","27/07/2017 11:34:56","27/07/2017 11:34:56","","","PG ERROR","beneficiary_create_failed, BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","XGBPO101","PY10120062","170727-DXMSBY001","GBP","200.00","GBP","GBP-GBP.xlsx","Sent to Bank",262.76,"27/07/2017 11:30:36","27/07/2017 11:30:53","27/07/2017 11:30:53","27/07/2017 11:30:54","","27/07/2017 11:31:00",,,"","",""
"Aseem Label","USA Tin","GBPO101","PY10120061","","GBP","200.00","GBP","GBP-GBP.xlsx","Error",,"27/07/2017 11:27:37","","","","","","DATA ERROR","Validation Error: ""Routing Code Value 1"": CLAOGB2LSCD , SWIFT should be alphanumeric with only 8 or 11 characters in length.<br>SORT CODE is required in routing code for GBP payments in UK.<br>","","",""
"Aseem Label","USA Tin","NZDO101","PY10120060","","NZD","200.00","NZD","NZD-NZD.xlsx","Error",,"27/07/2017 11:15:36","","","","","","DATA ERROR","Validation Error: ""Routing Code Value 1"": ANZBNZ22102 , SWIFT should be alphanumeric with only 8 or 11 characters in length.<br>","","",""
"Aseem Label","USA Tin","NZDO1","PY10120059","","NZD","200.00","NZD","NZD-NZD.xlsx","Error",150.56,"27/07/2017 11:11:54","27/07/2017 11:12:11","27/07/2017 11:12:12","27/07/2017 11:12:12","","","PG ERROR","beneficiary_create_failed, BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","GBPSWAMIINTO2","PY10119034","","GBP","200.00","GBP","GBP-All.xlsx","Error",262.76,"27/07/2017 10:44:15","27/07/2017 10:44:42","27/07/2017 10:57:11","27/07/2017 10:57:11","","","PG ERROR","beneficiary_create_failed, BIC/SWIFT is missing : ","","",""
"Aseem Label","USA Tin","GBPSWAMIINTO3","PY10119035","","GBP","200.00","GBP","GBP-All.xlsx","Error",262.76,"27/07/2017 10:44:15","27/07/2017 10:44:42","27/07/2017 10:56:46","27/07/2017 10:56:46","","","PG ERROR","beneficiary_create_failed, Account number is in invalid format : BIC/SWIFT is missing : ","","",""
"Aseem Label","USA Tin","GBPSWAMIINTO5","PY10119037","","GBP","200.00","GBP","GBP-All.xlsx","Error",262.76,"27/07/2017 10:44:15","27/07/2017 10:44:42","27/07/2017 10:56:24","27/07/2017 10:56:24","","","PG ERROR","beneficiary_create_failed, Account number is in invalid format : BIC/SWIFT is missing : ","","",""
"Aseem Label","USA Tin","GBPSWAMIINTO6","PY10119038","","GBP","200.00","GBP","GBP-All.xlsx","Error",262.76,"27/07/2017 10:44:15","27/07/2017 10:44:42","27/07/2017 10:56:08","27/07/2017 10:56:08","","","PG ERROR","beneficiary_create_failed, BIC/SWIFT is missing : ","","",""
"Aseem Label","USA Tin","GBPSWAMIINTO7","PY10119039","","GBP","200.00","GBP","GBP-All.xlsx","Error",262.76,"27/07/2017 10:44:15","27/07/2017 10:44:42","27/07/2017 10:55:53","27/07/2017 10:55:53","","","PG ERROR","beneficiary_create_failed, BIC/SWIFT is missing : ","","",""
"Aseem Label","USA Tin","GBPSWAMIINTO8","PY10119040","","GBP","200.00","GBP","GBP-All.xlsx","Error",262.76,"27/07/2017 10:44:15","27/07/2017 10:44:42","27/07/2017 10:55:31","27/07/2017 10:55:31","","","PG ERROR","beneficiary_create_failed, BIC/SWIFT is missing : ","","",""
"Aseem Label","USA Tin","GBPSWAMIINTO9","PY10119041","","GBP","200.00","GBP","GBP-All.xlsx","Error",262.76,"27/07/2017 10:44:15","27/07/2017 10:44:42","27/07/2017 10:55:17","27/07/2017 10:55:17","","","PG ERROR","beneficiary_create_failed, BIC/SWIFT is missing : ","","",""
"Aseem Label","USA Tin","GBPSWAMIINTO10","PY10119042","","GBP","200.00","GBP","GBP-All.xlsx","Error",262.76,"27/07/2017 10:44:15","27/07/2017 10:44:42","27/07/2017 10:55:02","27/07/2017 10:55:02","","","PG ERROR","beneficiary_create_failed, BIC/SWIFT is missing : ","","",""
"Aseem Label","USA Tin","GBPSWAMIINTO11","PY10119043","","GBP","200.00","GBP","GBP-All.xlsx","Error",262.76,"27/07/2017 10:44:15","27/07/2017 10:44:42","27/07/2017 10:54:49","27/07/2017 10:54:49","","","PG ERROR","beneficiary_create_failed, Account number is in invalid format : BIC/SWIFT is missing : ","","",""
"Aseem Label","USA Tin","GBPSWAMIINTO12","PY10119044","","GBP","200.00","GBP","GBP-All.xlsx","Error",262.76,"27/07/2017 10:44:15","27/07/2017 10:44:42","27/07/2017 10:54:32","27/07/2017 10:54:32","","","PG ERROR","beneficiary_create_failed, BIC/SWIFT is missing : ","","",""
"Aseem Label","USA Tin","GBPSWAMIINTO13","PY10119045","","GBP","200.00","GBP","GBP-All.xlsx","Error",262.76,"27/07/2017 10:44:16","27/07/2017 10:44:42","27/07/2017 10:54:19","27/07/2017 10:54:19","","","PG ERROR","beneficiary_create_failed, Account number is in invalid format : BIC/SWIFT is missing : ","","",""
